#Order	ETD	Cust.	Style	#PO	Color	BOM Q'ty	BOM Unit	PO. Q'ty	PO. Unit	Mark	PO. Prics	PO. Amount	PO. Currency	SHIP. Q'ty	RCV. Q'ty	APB Q'ty	APB. Amount	APB. Currency
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2307	BLACK	2886.00	yd	2980.00	yd		3.67000	10936.60	USD	12342.50	2951.00	2951.00	2951	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2307	WHEAT	2865.28	yd	2961.00	yd		3.67000	10866.87	USD	7167.80	2911.00	2911.00	2911	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2313	BLACK	536.25	yd	553.00	yd		1.08000	597.24	USD	3240.00	553.00	553.00	553	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2313	NATURAL	532.40	yd	545.00	yd		0.92000	501.40	USD	1320.00	545.00	545.00	545	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2316	BLACK	409.50	yd	395.00	meter		0.77000	304.15	USD	2300.00	395.00	395.00	395	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2316	NATURAL	406.56	yd	390.00	meter		0.77000	300.30	USD	900.00	390.00	390.00	390	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2316	CHARCOAL	214.50	yd	212.00	meter		0.37000	78.44	USD	1200.00	212.00	212.00	212	USD
BCH13-1865	2014-02-19	CHAPS	PT	PO13-2316	WHITE	212.96	yd	200.00	meter		0.37000	74.00	USD	600.00	200.00	200.00	200	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2307	BLACK	179.20	yd	185.00	yd		3.67000	678.95	USD	12342.50	183.00	183.00	183	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2307	WHEAT	179.20	yd	185.00	yd		3.67000	678.95	USD	7167.80	181.80	181.80	181.8	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2313	BLACK	31.36	yd	32.00	yd		1.08000	34.56	USD	3240.00	32.00	32.00	32	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2313	NATURAL	31.36	yd	32.00	yd		0.92000	29.44	USD	1320.00	32.00	32.00	32	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2316	BLACK	23.52	yd	23.00	meter		0.77000	17.71	USD	2300.00	23.00	23.00	23	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2316	NATURAL	23.52	yd	23.00	meter		0.77000	17.71	USD	900.00	23.00	23.00	23	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2316	CHARCOAL	12.32	yd	12.00	meter		0.37000	4.44	USD	1200.00	12.00	12.00	12	USD
BCH13-1866	2014-02-19	CHAPS	PT	PO13-2316	WHITE	12.32	yd	12.00	meter		0.37000	4.44	USD	600.00	12.00	12.00	12	USD
BCH13-1867	2014-02-19	CHAPS	PT	PO13-2307	BLACK	1874.88	yd	1936.00	yd		3.67000	7105.12	USD	12342.50	1917.00	1917.00	1917	USD
BCH13-1867	2014-02-19	CHAPS	PT	PO13-2307	NEW NAVY	2060.10	yd	2134.00	yd		3.67000	7831.78	USD	5224.10	2127.00	2127.00	2127	USD
BCH13-1867	2014-02-19	CHAPS	PT	PO13-2313	BLACK	666.24	yd	687.00	yd		1.08000	741.96	USD	3240.00	687.00	687.00	687	USD
BCH13-1867	2014-02-19	CHAPS	PT	PO13-2316	BLACK	520.50	yd	502.00	meter		0.77000	386.54	USD	2300.00	502.00	502.00	502	USD
BCH13-1867	2014-02-19	CHAPS	PT	PO13-2316	CHARCOAL	249.84	yd	247.00	meter		0.37000	91.39	USD	1200.00	247.00	247.00	247	USD
BCH13-1868	2014-02-19	CHAPS	PT	PO13-2307	BLACK	1440.76	yd	1488.00	yd		3.67000	5460.96	USD	12342.50	1473.00	1473.00	1473	USD
BCH13-1868	2014-02-19	CHAPS	PT	PO13-2307	NEW NAVY	1618.14	yd	1677.00	yd		3.67000	6154.59	USD	5224.10	1672.00	1672.00	1672	USD
BCH13-1868	2014-02-19	CHAPS	PT	PO13-2313	BLACK	540.80	yd	558.00	yd		1.08000	602.64	USD	3240.00	558.00	558.00	558	USD
BCH13-1868	2014-02-19	CHAPS	PT	PO13-2316	BLACK	422.50	yd	407.00	meter		0.77000	313.39	USD	2300.00	407.00	407.00	407	USD
BCH13-1868	2014-02-19	CHAPS	PT	PO13-2316	CHARCOAL	202.80	yd	201.00	meter		0.37000	74.37	USD	1200.00	201.00	201.00	201	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2307	BLACK	1701.36	yd	1757.00	yd		3.67000	6448.19	USD	12342.50	1740.50	1740.50	1740.5	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2307	NEW NAVY	1380.06	yd	1430.00	yd		3.67000	5248.10	USD	5224.10	1425.10	1425.10	1425.1	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2307	WHITE	1530.00	yd	1567.00	yd		3.67000	5750.89	USD	1613.70	1613.70	1613.70	1613.7	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2313	BLACK	644.48	yd	665.00	yd		1.08000	718.20	USD	3240.00	665.00	665.00	665	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2313	WHITE	320.00	yd	330.00	yd		0.95000	313.50	USD	330.00	330.00	330.00	330	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2316	BLACK	503.50	yd	486.00	meter		0.77000	374.22	USD	2300.00	486.00	486.00	486	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2316	WHITE	250.00	yd	300.00	meter	min purchase :300	0.77000	231.00	USD	300.00	300.00	300.00	300	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2316	CHARCOAL	241.68	yd	239.00	meter		0.37000	88.43	USD	1200.00	239.00	239.00	239	USD
BCH13-1869	2014-02-19	CHAPS	PT	PO13-2316	WHITE	120.00	yd	113.00	meter		0.37000	41.81	USD	600.00	113.00	113.00	113	USD
BCH13-1991	2014-02-26	CHAPS	PT	PO13-2601	BLACK	5662.44	yd	5860.00	yd	min purchase :9610	3.70000	21682.00	USD	9604.50	5857.00	5857.00	5857	USD
BCH13-1991	2014-02-26	CHAPS	PT	PO13-2522	BLACK	958.72	yd	1007.00	yd		1.08000	1087.56	USD	1680.00	1007.00	1007.00	1007	USD
BCH13-1991	2014-02-26	CHAPS	PT	PO13-2520	BLACK	749.00	yd	719.00	meter	min purchase :1200	0.77000	553.63	USD	1200.00	719.00	719.00	719	USD
BCH13-1991	2014-02-26	CHAPS	PT	PO13-2520	CHARCOAL	359.52	yd	360.00	meter	min purchase :600	0.37000	133.20	USD	600.00	360.00	360.00	360	USD
BCH13-1992	2014-02-26	CHAPS	PT	PO13-2601	BLACK	3623.62	yd	3750.00	yd	min purchase :9610	3.70000	13875.00	USD	9604.50	3747.50	3747.50	3747.5	USD
BCH13-1992	2014-02-26	CHAPS	PT	PO13-2522	BLACK	640.64	yd	673.00	yd		1.08000	726.84	USD	1680.00	673.00	673.00	673	USD
BCH13-1992	2014-02-26	CHAPS	PT	PO13-2520	BLACK	500.50	yd	481.00	meter	min purchase :1200	0.77000	370.37	USD	1200.00	481.00	481.00	481	USD
BCH13-1992	2014-02-26	CHAPS	PT	PO13-2520	CHARCOAL	240.24	yd	240.00	meter	min purchase :600	0.37000	88.80	USD	600.00	240.00	240.00	240	USD
BCH13-2004	2014-03-19	CHAPS	PT	PO13-2602	BLACK	3039.12	yd	3122.00	yd		3.70000	11551.40	USD	5174.00	3122.00	3122.00	3122	USD
BCH13-2004	2014-03-19	CHAPS	PT	PO13-2582	BLACK	490.44	yd	569.00	yd	min purchase :960	1.08000	614.52	USD	1920.00	569.00	569.00	569	USD
BCH13-2004	2014-03-19	CHAPS	PT	PO13-2585	BLACK	369.84	yd	356.00	meter		0.77000	274.12	USD	600.00	356.00	356.00	356	USD
BCH13-2004	2014-03-19	CHAPS	PT	PO13-2585	CHARCOAL	192.96	yd	237.00	meter	min purchase :400	0.37000	87.69	USD	400.00	237.00	237.00	237	USD
BCH13-2005	2014-03-19	CHAPS	PT	PO13-2602	BLACK	1998.24	yd	2052.00	yd		3.70000	7592.40	USD	5174.00	2052.00	2052.00	2052	USD
BCH13-2005	2014-03-19	CHAPS	PT	PO13-2582	BLACK	336.72	yd	391.00	yd	min purchase :960	1.08000	422.28	USD	1920.00	391.00	391.00	391	USD
BCH13-2005	2014-03-19	CHAPS	PT	PO13-2585	BLACK	253.92	yd	244.00	meter		0.77000	187.88	USD	600.00	244.00	244.00	244	USD
BCH13-2005	2014-03-19	CHAPS	PT	PO13-2585	CHARCOAL	132.48	yd	163.00	meter	min purchase :400	0.37000	60.31	USD	400.00	163.00	163.00	163	USD
BLR13-1786	2014-01-08	Laurn	SH	PO13-2115	NATURA	574.42	yd	600.00	meter	min purchase :600	1.15000	690.00	USD	600.00	600.00	600.00	600	USD
BLR13-1786	2014-01-08	Laurn	SH	PO13-2113	ORANGE-MULTI	3528.58	yd	3600.00	yd		3.10000	11160.00	USD	3567.00	3567.00	3567.00	3567	USD
BLR13-1786	2014-01-08	Laurn	SH	PO13-2115	NATURA	205.15	yd	200.00	meter	min purchase :200	1.55000	310.00	USD	200.00	200.00	200.00	200	USD
BLR13-1786	2014-01-08	Laurn	SH	PO13-2114	NATURA	820.60	yd	900.00	yd	min purchase :900	0.92000	828.00	USD	900.00	900.00	900.00	900	USD
BLR13-1814	2014-02-05	Laurn	SH	PO13-2207	BLACK	52.50	yd	100.00	meter	min purchase :100	1.64000	164.00	USD	100.00	100.00	100.00	100	USD
BLR13-1814	2014-02-05	Laurn	SH	PO13-2207	BLACK	304.50	yd	300.00	meter	min purchase :300	1.24000	372.00	USD	300.00	300.00	300.00	300	USD
BLR13-1814	2014-02-05	Laurn	SH	PO13-2211	BLACK	315.00	yd	330.00	yd		1.08000	356.40	USD	330.00	330.00	330.00	330	USD
BLR13-1814	2014-02-05	Laurn	SH	PO13-2154	NAVY-WHITE	1848.00	yd	1890.00	yd		4.00000	7560.00	USD	1938.50	1938.50	1938.50	1938.5	USD
BLR13-1815	2014-02-26	Laurn	DR	PO13-2154	RIVIERA ROYAL WHITE	753.50	yd	743.00	yd		5.01000	3722.43	USD	737.90	737.90	737.90	737.9	USD
BLR13-1815	2014-02-26	Laurn	DR	PO13-2219	RIVIERA ROYAL	649.00	yd	800.00	yd	min purchase :800	1.45000	1160.00	USD	800.00	800.00	800.00	800	USD
BLR13-1815	2014-02-26	Laurn	DR	PO13-2207	NATURAL	110.00	yd	200.00	meter	min purchase :200	1.55000	310.00	USD	200.00	200.00	200.00	200	USD
BLR13-1816	2014-01-10	Laurn	PT	PO13-2240	PEARL	3144.70	yd	3198.00	yd		4.32000	13815.36	USD	3167.00	3167.00	3167.00	3167	USD
BLR13-1816	2014-01-10	Laurn	PT	PO13-2249	NATURAL	149.24	yd	140.00	meter		1.55000	217.00	USD	500.00	140.00	140.00	140	USD
BLR13-1816	2014-01-10	Laurn	PT	PO13-2249	NATURAL	383.76	yd	360.00	meter		1.55000	558.00	USD	500.00	360.00	360.00	360	USD
BLR13-1816	2014-01-10	Laurn	PT	PO13-2250	NATURAL	426.40	yd	480.00	yd	min purchase :480	0.92000	441.60	USD	480.00	480.00	480.00	480	USD
BLR13-1817	2014-01-10	Laurn	PT	PO13-2240	BLACK	917.60	yd	933.00	yd		5.72000	5336.76	USD	1011.00	1011.00	960.99	960.99	USD
BLR13-1817	2014-01-10	Laurn	PT	PO13-2249	BLACK	34.72	yd	52.00	meter	min purchase :200	1.64000	85.28	USD	200.00	52.00	52.00	52	USD
BLR13-1817	2014-01-10	Laurn	PT	PO13-2249	BLACK	99.20	yd	148.00	meter	min purchase :200	1.64000	242.72	USD	200.00	148.00	148.00	148	USD
BLR13-1817	2014-01-10	Laurn	PT	PO13-2250	BLACK	124.00	yd	220.00	yd	min purchase :220	1.08000	237.60	USD	220.00	220.00	220.00	220	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2283	BLACK黑色	703.66	yd	792.00	yd	min purchase :792	2.43000	1924.56	USD	792.00	792.00	800.00	800	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2361	BLACK黑色	46.60	meter	100.00	meter	min purchase :100	1.24000	124.00	USD	100.00	100.00	100.00	100	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2283	WHITE	703.66	yd	792.00	yd	min purchase :792	2.43000	1924.56	USD	792.00	792.00	793.00	793	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2361	WHITE	46.60	meter	100.00	meter	min purchase :115	1.20000	120.00	USD	100.00	100.00	100.00	100	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2361	BLACK黑色	79.22	meter	100.00	meter	min purchase :100	1.64000	164.00	USD	100.00	100.00	100.00	100	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2361	WHITE	79.22	meter	100.00	meter	min purchase :100	1.61000	161.00	USD	100.00	100.00	100.00	100	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2362	BLACK黑色	142.13	yd	220.00	yd	min purchase :220	1.08000	237.60	USD	220.00	220.00	220.00	220	USD
BLR13-1919	2014-02-19	Laurn	PT	PO13-2362	WHITE	142.13	yd	220.00	yd	min purchase :220	0.95000	209.00	USD	220.00	220.00	220.00	220	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2426	WHITE	4293.92	yd	4355.00	yd		3.75000	16331.25	USD	4342.80	4090.00	4090.00	4090	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2426	SAN REMO NAVY	1872.48	yd	1892.00	yd		4.15000	7851.80	USD	1858.80	1858.80	1858.80	1858.8	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2431	WHITE BODY WITH WHITE	342.60	meter	377.00	meter	min purchase :400	1.61000	606.97	USD	400.00	377.00	377.00	377	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2431	WHITE BODY WITH WHITE	548.16	meter	566.00	meter		1.20000	679.20	USD	600.00	566.00	566.00	566	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2430	SAN REMO NAVY BODY WITH BLACK	581.66	yd	720.00	yd	min purchase :720	1.08000	777.60	USD	720.00	720.00	660.00	660	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2431	SAN REMO NAVY BODY WITH BLACK	149.40	meter	200.00	meter	min purchase :200	1.64000	328.00	USD	200.00	200.00	200.00	200	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2431	SAN REMO NAVY BODY WITH BLACK	239.04	meter	300.00	meter	min purchase :300	1.24000	372.00	USD	300.00	300.00	300.00	300	USD
BLR13-1924	2014-03-19	Laurn	SH	PO13-2430	WHITE BODY WITH NON-OP WHITE	1333.85	yd	1465.00	yd		0.95000	1391.75	USD	1488.40	1488.40	1488.40	1488.4	USD
BLR13-1925	2014-03-19	Laurn	PT	PO13-2426	WHITE	265.50	yd	269.00	yd		3.75000	1008.75	USD	4342.80	252.80	252.80	252.8	USD
BLR13-1925	2014-03-19	Laurn	PT	PO13-2431	WHITE BODY WITH WHITE	21.00	meter	23.00	meter	min purchase :400	1.61000	37.03	USD	400.00	23.00	23.00	23	USD
BLR13-1925	2014-03-19	Laurn	PT	PO13-2431	WHITE BODY WITH WHITE	33.00	meter	34.00	meter		1.20000	40.80	USD	600.00	34.00	34.00	34	USD
BLR13-1925	2014-03-19	Laurn	PT	PO13-2430	WHITE BODY WITH NON OP WHITE	87.00	yd	95.00	yd		0.95000	90.25	USD	95.00	95.00	95.00	95	USD
BLR13-1926	2014-03-19	Laurn	PT	PO13-2458		4281.80	yd	4363.00	yd		5.57000	24301.91	USD	4403.30	4403.30	4403.30	4403.3	USD
BLR13-1926	2014-03-19	Laurn	PT	PO13-2461		271.00	meter	300.00	meter	min purchase :300	1.20000	360.00	USD	300.00	300.00	300.00	300	USD
BLR13-1926	2014-03-19	Laurn	PT	PO13-2458		460.70	yd	542.00	yd	min purchase :542	7.85000	4254.70	USD	488.80	488.80	488.80	488.8	USD
